screening_id,source_celex,amended_act,article,carrier_section,provision_type,candidate_mechanism,semantic_role,matched_pattern,matched_keyword,screening_confidence,evidence_text
SCR-00095,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"In order to foster the free movement of services, Member States should allow independent assurance services providers established in a different Member State to carry out the assurance of sustainability reporting in their territory. This would also favour opening up the assurance market even when not all Member States allow for the accreditation of independent assurance services providers in their territory. Where independent assurance services providers carry out the assurance of sustainability"
SCR-00096,32022L2464,,,,recital,certification,actor,independent assurance services provider,independent assurance services provider,high,"In order to foster the free movement of services, Member States should allow independent assurance services providers established in a different Member State to carry out the assurance of sustainability reporting in their territory. This would also favour opening up the assurance market even when not all Member States allow for the accreditation of independent assurance services providers in their territory. Where independent assurance services providers carry out the assurance of sustainability"
SCR-00097,32022L2464,,,,recital,auditing,actor,(EU ETS )?(lead )?auditor,auditor,high,"In order to foster the free movement of services, Member States should allow independent assurance services providers established in a different Member State to carry out the assurance of sustainability reporting in their territory. This would also favour opening up the assurance market even when not all Member States allow for the accreditation of independent assurance services providers in their territory. Where independent assurance services providers carry out the assurance of sustainability"
SCR-00098,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Member States should ensure that when an undertaking is required by Union law to have elements of its sustainability reporting verified by an accredited independent third party, the report of the accredited independent third party should be made available either as an annex to the management report or by any other publicly accessible means. Such making available of that report should not pre-empt the outcome of the assurance opinion of which the third-party verification should remain independent"
SCR-00099,32022L2464,,,,recital,certification,actor,independent assurance services provider,independent assurance services provider,high,"Member States should ensure that when an undertaking is required by Union law to have elements of its sustainability reporting verified by an accredited independent third party, the report of the accredited independent third party should be made available either as an annex to the management report or by any other publicly accessible means. Such making available of that report should not pre-empt the outcome of the assurance opinion of which the third-party verification should remain independent"
SCR-00100,32022L2464,,,,recital,auditing,actor,(EU ETS )?(lead )?auditor,auditor,high,"Member States should ensure that when an undertaking is required by Union law to have elements of its sustainability reporting verified by an accredited independent third party, the report of the accredited independent third party should be made available either as an annex to the management report or by any other publicly accessible means. Such making available of that report should not pre-empt the outcome of the assurance opinion of which the third-party verification should remain independent"
SCR-00101,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,Directive 2006/43/EC sets out rules concerning the statutory audit of annual and consolidated financial statements. It is necessary to ensure that consistent rules apply to the audit of financial statements and the assurance of sustainability reporting by the statutory auditor. Directive 2006/43/EC should apply where the assurance opinion on sustainability reporting is expressed by a statutory auditor or an audit firm.
SCR-00102,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,Directive 2006/43/EC sets out rules concerning the statutory audit of annual and consolidated financial statements. It is necessary to ensure that consistent rules apply to the audit of financial statements and the assurance of sustainability reporting by the statutory auditor. Directive 2006/43/EC should apply where the assurance opinion on sustainability reporting is expressed by a statutory auditor or an audit firm.
SCR-00103,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,The rules on the approval and recognition of statutory auditors and audit firms should allow statutory auditors to qualify also for the assurance of sustainability reporting. Member States should ensure that statutory auditors who wish to qualify for the assurance of sustainability reporting have the necessary level of theoretical knowledge of subjects relevant to the assurance of sustainability reporting and the ability to apply such knowledge in practice.
SCR-00104,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,The rules on the approval and recognition of statutory auditors and audit firms should allow statutory auditors to qualify also for the assurance of sustainability reporting. Member States should ensure that statutory auditors who wish to qualify for the assurance of sustainability reporting have the necessary level of theoretical knowledge of subjects relevant to the assurance of sustainability reporting and the ability to apply such knowledge in practice.
SCR-00105,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Therefore, statutory auditors should complete practical training of at least eight months in the assurance of annual and consolidated sustainability reporting or in other sustainability-related services, taking account of previous employment experience. However, statutory auditors that have already been approved or recognised in a Member State should continue to be allowed to carry out the assurance of sustainability reporting. Likewise, Member States should ensure that natural persons who are u"
SCR-00106,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Therefore, statutory auditors should complete practical training of at least eight months in the assurance of annual and consolidated sustainability reporting or in other sustainability-related services, taking account of previous employment experience. However, statutory auditors that have already been approved or recognised in a Member State should continue to be allowed to carry out the assurance of sustainability reporting. Likewise, Member States should ensure that natural persons who are u"
SCR-00107,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"It should be ensured that the requirements imposed on auditors as regards the statutory audit and the assurance of sustainability reporting they carry out are consistent. Therefore, there should be at least one designated person who is actively involved in carrying out the assurance of sustainability reporting (‘key sustainability partner’). When carrying out the assurance of sustainability reporting, statutory auditors should be required to devote sufficient time and assign sufficient resources"
SCR-00108,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"It should be ensured that the requirements imposed on auditors as regards the statutory audit and the assurance of sustainability reporting they carry out are consistent. Therefore, there should be at least one designated person who is actively involved in carrying out the assurance of sustainability reporting (‘key sustainability partner’). When carrying out the assurance of sustainability reporting, statutory auditors should be required to devote sufficient time and assign sufficient resources"
SCR-00109,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,Statutory auditors or audit firms that carry out the assurance of sustainability reporting should have a high level of technical and specialised expertise in the field of sustainability.
SCR-00110,32022L2464,,,,recital,auditing,actor,statutory auditor,Statutory auditor,high,Statutory auditors or audit firms that carry out the assurance of sustainability reporting should have a high level of technical and specialised expertise in the field of sustainability.
SCR-00111,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2006/43/EC requires Member States to put appropriate rules in place to avoid the fees on the statutory audit being influenced or determined by the provision of additional services to the audited entity or being based on any form of contingency. That Directive also requires Member States to ensure that statutory auditors carrying out statutory audits comply with the rules on professional ethics, independence, objectivity, confidentiality and professional secrecy. For reasons of coherenc"
SCR-00112,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Directive 2006/43/EC requires Member States to put appropriate rules in place to avoid the fees on the statutory audit being influenced or determined by the provision of additional services to the audited entity or being based on any form of contingency. That Directive also requires Member States to ensure that statutory auditors carrying out statutory audits comply with the rules on professional ethics, independence, objectivity, confidentiality and professional secrecy. For reasons of coherenc"
SCR-00113,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"In order to provide for uniform assurance practices and high-quality assurance of sustainability reporting across the Union, the Commission should be empowered to adopt sustainability assurance standards by means of delegated acts. Member States should be given the possibility of applying national assurance standards, procedures or requirements, as long as the Commission has not adopted an assurance standard by means of delegated acts covering the same subject matter. Such assurance standards sh"
SCR-00114,32022L2464,,,,recital,auditing,actor,(EU ETS )?(lead )?auditor,auditor,high,"In order to provide for uniform assurance practices and high-quality assurance of sustainability reporting across the Union, the Commission should be empowered to adopt sustainability assurance standards by means of delegated acts. Member States should be given the possibility of applying national assurance standards, procedures or requirements, as long as the Commission has not adopted an assurance standard by means of delegated acts covering the same subject matter. Such assurance standards sh"
SCR-00115,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,Directive 2006/43/EC sets out rules on the statutory audit of a group of undertakings. Similar rules should be set out for the assurance of consolidated sustainability reporting.
SCR-00116,32022L2464,,,,recital,auditing,mechanism,\baudit\w*,audit,low,Directive 2006/43/EC sets out rules on the statutory audit of a group of undertakings. Similar rules should be set out for the assurance of consolidated sustainability reporting.
SCR-00117,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2006/43/EC requires statutory auditors or audit firms to present the results of their statutory audit in an audit report. Similar rules should be set out for the assurance of sustainability reporting. The results of the assurance of sustainability reporting should be presented in an assurance report. Where the same statutory auditor carries out the statutory audit of annual financial statements and the assurance of sustainability reporting, it should be possible to present the informat"
SCR-00118,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Directive 2006/43/EC requires statutory auditors or audit firms to present the results of their statutory audit in an audit report. Similar rules should be set out for the assurance of sustainability reporting. The results of the assurance of sustainability reporting should be presented in an assurance report. Where the same statutory auditor carries out the statutory audit of annual financial statements and the assurance of sustainability reporting, it should be possible to present the informat"
SCR-00119,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2006/43/EC requires Member States to set up a system of quality assurance review of statutory auditors and audit firms. To ensure that quality assurance reviews also take place for the assurance of sustainability reporting and that the persons who carry out quality assurance reviews have appropriate professional education and relevant experience in sustainability reporting and in the assurance of sustainability reporting, that requirement to set up a system of quality assurance review "
SCR-00120,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Directive 2006/43/EC requires Member States to set up a system of quality assurance review of statutory auditors and audit firms. To ensure that quality assurance reviews also take place for the assurance of sustainability reporting and that the persons who carry out quality assurance reviews have appropriate professional education and relevant experience in sustainability reporting and in the assurance of sustainability reporting, that requirement to set up a system of quality assurance review "
SCR-00121,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2006/43/EC requires Member States to have in place an investigations and sanctions regime for statutory auditors and audit firms carrying out statutory audits. That Directive also requires Member States to organise an effective system of public oversight, and to ensure that regulatory arrangements for public oversight systems permit effective cooperation at Union level in respect of Member States’ oversight activities. Such requirements should be extended to statutory auditors and audi"
SCR-00122,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Directive 2006/43/EC requires Member States to have in place an investigations and sanctions regime for statutory auditors and audit firms carrying out statutory audits. That Directive also requires Member States to organise an effective system of public oversight, and to ensure that regulatory arrangements for public oversight systems permit effective cooperation at Union level in respect of Member States’ oversight activities. Such requirements should be extended to statutory auditors and audi"
SCR-00123,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,Directive 2006/43/EC contains rules on the appointment and dismissal of statutory auditors and audit firms carrying out statutory audits. Those rules should be extended to the assurance of sustainability reporting to ensure the consistency of the rules imposed on auditors as regards their work on the statutory audit and the assurance of sustainability reporting.
SCR-00124,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,Directive 2006/43/EC contains rules on the appointment and dismissal of statutory auditors and audit firms carrying out statutory audits. Those rules should be extended to the assurance of sustainability reporting to ensure the consistency of the rules imposed on auditors as regards their work on the statutory audit and the assurance of sustainability reporting.
SCR-00125,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Pursuant to Article 6 of Directive 2007/36/EC of the European Parliament and of the Council (36), Member States are required to ensure that shareholders of undertakings whose securities are admitted to trading on a regulated market in the Union, acting individually or collectively, have the right to put items on the agenda of the general meeting, provided that each such item is accompanied by a justification or a draft resolution to be adopted in the general meeting, and that they have the right"
SCR-00126,32022L2464,,,,recital,certification,mechanism,\baccredited\b,accredited,low,"Pursuant to Article 6 of Directive 2007/36/EC of the European Parliament and of the Council (36), Member States are required to ensure that shareholders of undertakings whose securities are admitted to trading on a regulated market in the Union, acting individually or collectively, have the right to put items on the agenda of the general meeting, provided that each such item is accompanied by a justification or a draft resolution to be adopted in the general meeting, and that they have the right"
SCR-00127,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Pursuant to Article 6 of Directive 2007/36/EC of the European Parliament and of the Council (36), Member States are required to ensure that shareholders of undertakings whose securities are admitted to trading on a regulated market in the Union, acting individually or collectively, have the right to put items on the agenda of the general meeting, provided that each such item is accompanied by a justification or a draft resolution to be adopted in the general meeting, and that they have the right"
SCR-00128,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"For undertakings subject to the sustainability reporting requirements introduced by this amending Directive and that do not fall within the scope of Article 6 of Directive 2007/36/EC, shareholders which represent more than 5 % of the voting rights or 5 % of the capital of the undertaking, acting individually or collectively, should also be given the right to table a draft resolution to be adopted in the general meeting, requiring that, firstly, an accredited third party that does not belong to t"
SCR-00129,32022L2464,,,,recital,certification,mechanism,\baccredited\b,accredited,low,"For undertakings subject to the sustainability reporting requirements introduced by this amending Directive and that do not fall within the scope of Article 6 of Directive 2007/36/EC, shareholders which represent more than 5 % of the voting rights or 5 % of the capital of the undertaking, acting individually or collectively, should also be given the right to table a draft resolution to be adopted in the general meeting, requiring that, firstly, an accredited third party that does not belong to t"
SCR-00130,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"For undertakings subject to the sustainability reporting requirements introduced by this amending Directive and that do not fall within the scope of Article 6 of Directive 2007/36/EC, shareholders which represent more than 5 % of the voting rights or 5 % of the capital of the undertaking, acting individually or collectively, should also be given the right to table a draft resolution to be adopted in the general meeting, requiring that, firstly, an accredited third party that does not belong to t"
SCR-00131,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2006/43/EC requires Member States to ensure that each public-interest entity has an audit committee, and specifies its tasks with regard to the statutory audit. That audit committee should be assigned with certain tasks with regard to the assurance of sustainability reporting. Those tasks should include the obligation to inform the administrative or supervisory body of the public-interest entity of the outcome of the assurance of sustainability reporting, and to explain how the audit c"
SCR-00132,32022L2464,,,,recital,auditing,mechanism,\baudit\w*,audit,low,"Directive 2006/43/EC requires Member States to ensure that each public-interest entity has an audit committee, and specifies its tasks with regard to the statutory audit. That audit committee should be assigned with certain tasks with regard to the assurance of sustainability reporting. Those tasks should include the obligation to inform the administrative or supervisory body of the public-interest entity of the outcome of the assurance of sustainability reporting, and to explain how the audit c"
SCR-00133,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2006/43/EC contains requirements for registration and oversight of third-country auditors and audit entities. To ensure that a consistent framework exists for the work of auditors in both the statutory audit and the assurance of sustainability reporting, it is necessary to extend those requirements to the assurance of sustainability reporting."
SCR-00134,32022L2464,,,,recital,auditing,actor,(EU ETS )?(lead )?auditor,auditor,high,"Directive 2006/43/EC contains requirements for registration and oversight of third-country auditors and audit entities. To ensure that a consistent framework exists for the work of auditors in both the statutory audit and the assurance of sustainability reporting, it is necessary to extend those requirements to the assurance of sustainability reporting."
SCR-00135,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Regulation (EU) No 537/2014 of the European Parliament and of the Council (37) applies to statutory auditors and audit firms carrying out statutory audits of public-interest entities. To ensure the independence of the statutory auditor when carrying out a statutory audit, that Regulation establishes a limit concerning the fees for other services that the statutory auditor can obtain. It is important to clarify that the assurance of sustainability reporting should not count in the calculation of "
SCR-00136,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"Regulation (EU) No 537/2014 of the European Parliament and of the Council (37) applies to statutory auditors and audit firms carrying out statutory audits of public-interest entities. To ensure the independence of the statutory auditor when carrying out a statutory audit, that Regulation establishes a limit concerning the fees for other services that the statutory auditor can obtain. It is important to clarify that the assurance of sustainability reporting should not count in the calculation of "
SCR-00137,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"To ensure the independence of the statutory auditor, certain non-audit services should also be prohibited when the statutory auditor is carrying out the assurance of sustainability reporting. Regulation (EU) No 537/2014 requires statutory auditors to report irregularities to the audited entity and, under certain circumstances, to authorities designated by the Member States as responsible for investigating such irregularities. Such obligation should also be extended, as appropriate, to statutory "
SCR-00138,32022L2464,,,,recital,auditing,actor,statutory auditor,statutory auditor,high,"To ensure the independence of the statutory auditor, certain non-audit services should also be prohibited when the statutory auditor is carrying out the assurance of sustainability reporting. Regulation (EU) No 537/2014 requires statutory auditors to report irregularities to the audited entity and, under certain circumstances, to authorities designated by the Member States as responsible for investigating such irregularities. Such obligation should also be extended, as appropriate, to statutory "
SCR-00139,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Directive 2004/109/EC assigns to national supervisors the task of enforcing compliance with corporate reporting requirements by undertakings whose securities are admitted to trading on a regulated market in the Union. Article 4 of that Directive specifies the content to be included in the annual financial reports, but lacks an explicit reference to Articles 19a and 29a of Directive 2013/34/EU, which require the preparation of a non-financial statement and a consolidated non-financial statement. "
SCR-00140,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"In addition, given the novel character of the sustainability reporting requirements, ESMA should issue guidelines for national competent authorities to promote convergent supervision of sustainability reporting by issuers subject to Directive 2004/109/EC. Those guidelines should only apply to the supervision of undertakings whose securities are admitted to trading on a regulated market in the Union."
SCR-00141,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"In order to specify the requirements set out in this amending Directive, the power to adopt acts in accordance with Article 290 of the Treaty on the Functioning of the European Union should be delegated to the Commission in respect of establishing sustainability reporting standards and establishing standards for the assurance of sustainability reporting. It is of particular importance that the Commission carry out appropriate consultations during its preparatory work, including at expert level, "
SCR-00142,32022L2464,,,,recital,auditing,mechanism,\bassurance\b,assurance,low,"In order to specify the requirements set out in this amending Directive, the power to adopt acts in accordance with Article 290 of the Treaty on the Functioning of the European Union should be delegated to the Commission in respect of establishing sustainability reporting standards and establishing standards for the assurance of sustainability reporting. It is of particular importance that the Commission carry out appropriate consultations during its preparatory work, including at expert level, "
SCR-00143,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"The Commission should submit a report to the European Parliament and to the Council on the implementation of this amending Directive, including, inter alia: an assessment of the achievement of the goals of this amending Directive, including the convergence of reporting practices between Member States; an assessment of the number of small and medium-sized undertakings using sustainability reporting standards voluntarily; an assessment of whether and how the scope of the reporting requirements sho"
SCR-00144,32022L2464,,,,recital,reporting,mechanism,sustainability reporting,sustainability reporting,high,"The report on the implementation of this amending Directive should be published by 30 April 2029 and every three years thereafter, and should be accompanied, if appropriate, by legislative proposals. By 31 December 2028, the Commission should review and report on the level of concentration of the sustainability assurance market. The review should take into account the national regimes applicable to independent assurance services providers and assess whether and to what extent such national regim"
SCR-00145,32022L2464,,,,recital,certification,actor,independent assurance services provider,independent assurance services provider,high,"The report on the implementation of this amending Directive should be published by 30 April 2029 and every three years thereafter, and should be accompanied, if appropriate, by legislative proposals. By 31 December 2028, the Commission should review and report on the level of concentration of the sustainability assurance market. The review should take into account the national regimes applicable to independent assurance services providers and assess whether and to what extent such national regim"
SCR-00146,32022L2464,,,,recital,auditing,mechanism,assurance (engagement|opinion|services),assurance services,high,"The report on the implementation of this amending Directive should be published by 30 April 2029 and every three years thereafter, and should be accompanied, if appropriate, by legislative proposals. By 31 December 2028, the Commission should review and report on the level of concentration of the sustainability assurance market. The review should take into account the national regimes applicable to independent assurance services providers and assess whether and to what extent such national regim"
SCR-00147,32022L2464,Amendments to Directive 2013/34/EU,Article 1,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"“sustainability reporting” means reporting information related to sustainability matters in accordance with Articles 19a, 29a and 29d;"
SCR-00148,32022L2464,Amendments to Directive 2013/34/EU,Article 1,,article,certification,actor,conformity assessment (body|bodies),conformity assessment body,high,“independent assurance services provider” means a conformity assessment body accredited in accordance with Regulation (EC) No 765/2008 of the European Parliament and of the Council (*7) for the specific conformity assessment activity referred to in point (aa) of the second subparagraph of Article 34(1) of this Directive.
SCR-00149,32022L2464,Amendments to Directive 2013/34/EU,Article 1,,article,auditing,mechanism,assurance (engagement|opinion|services),assurance services,high,“independent assurance services provider” means a conformity assessment body accredited in accordance with Regulation (EC) No 765/2008 of the European Parliament and of the Council (*7) for the specific conformity assessment activity referred to in point (aa) of the second subparagraph of Article 34(1) of this Directive.
SCR-00150,32022L2464,Amendments to Directive 2013/34/EU,Article 1,,article,reporting,mechanism,\bshall report\b,shall report,low,"‘Large undertakings, and small and medium-sized undertakings, except micro undertakings, which are public-interest entities as defined in point (a) of point (1) of Article 2 shall report information on the key intangible resources and explain how the business model of the undertaking fundamentally depends on such resources and how such resources are a source of value creation for the undertaking.’;"
SCR-00151,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,Sustainability reporting,high,Sustainability reporting
SCR-00152,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"1. Large undertakings, and small and medium-sized undertakings, except micro undertakings, which are public-interest entities as defined in point (a) of point (1) of Article 2 shall include in the management report information necessary to understand the undertaking’s impacts on sustainability matters, and information necessary to understand how sustainability matters affect the undertaking’s development, performance and position."
SCR-00153,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"The information referred to in the first subparagraph shall be clearly identifiable within the management report, through a dedicated section of the management report."
SCR-00154,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"Undertakings shall report the process carried out to identify the information that they have included in the management report in accordance with paragraph 1 of this Article. The information listed in the first subparagraph of this paragraph shall include information related to short-, medium- and long-term time horizons, as applicable."
SCR-00155,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"Where applicable, the information referred to in paragraphs 1 and 2 shall also contain references to, and additional explanations of, the other information included in the management report in accordance with Article 19, and the amounts reported in the annual financial statements."
SCR-00156,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,4. Undertakings shall report the information referred to in paragraphs 1 to 3 of this Article in accordance with the sustainability reporting standards adopted pursuant to Article 29b.
SCR-00157,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"6. By way of derogation from paragraphs 2 to 4 of this Article, and without prejudice to paragraphs 9 and 10 of this Article, small and medium-sized undertakings referred to in paragraph 1 of this Article, small and non-complex institutions defined in point (145) of Article 4(1) of Regulation (EU) No 575/2013, captive insurance undertakings defined in point (2) of Article 13 of Directive 2009/138/EC of the European Parliament and of the Council (*10) and captive reinsurance undertakings defined "
SCR-00158,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"Small and medium-sized undertakings, small and non-complex institutions and captive insurance and reinsurance undertakings that rely on the derogation referred to in the first subparagraph shall report in accordance with the sustainability reporting standards for small and medium-sized undertakings referred to in Article 29c."
SCR-00159,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"7. For financial years starting before 1 January 2028, by way of derogation from paragraph 1 of this Article, small and medium-sized undertakings which are public-interest entities as defined in point (a) of point (1) of Article 2 may decide not to include in their management report the information referred to in paragraph 1 of this Article. In such cases, the undertaking shall, nevertheless, briefly state in its management report why the sustainability reporting was not provided."
SCR-00160,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"9. Provided that the conditions set out in the second subparagraph of this paragraph are met, an undertaking which is a subsidiary undertaking shall be exempted from the obligations set out in paragraphs 1 to 4 of this Article (“the exempted subsidiary undertaking”) if such undertaking and its subsidiary undertakings are included in the consolidated management report of a parent undertaking, drawn up in accordance with Articles 29 and 29a. An undertaking which is a subsidiary undertaking of a pa"
SCR-00161,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,the management report of the exempted subsidiary undertaking contains all of the following information:
SCR-00162,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"the name and registered office of the parent undertaking that reports information at group level in accordance with this Article or in a manner equivalent to the sustainability reporting standards adopted pursuant to Article 29b of this Directive, as determined in accordance with an implementing act on the equivalence of sustainability reporting standards adopted pursuant to the third subparagraph of Article 23(4) of Directive 2004/109/EC;"
SCR-00163,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"the weblinks to the consolidated management report of the parent undertaking or, where applicable, to the consolidated sustainability reporting of the parent undertaking, as referred to in the first subparagraph of this paragraph, and to the assurance opinion referred to in point (aa) of the second subparagraph of Article 34(1) of this Directive or to the assurance opinion referred to in point (b) of this subparagraph;"
SCR-00164,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,auditing,mechanism,assurance (engagement|opinion|services),assurance opinion,high,"the weblinks to the consolidated management report of the parent undertaking or, where applicable, to the consolidated sustainability reporting of the parent undertaking, as referred to in the first subparagraph of this paragraph, and to the assurance opinion referred to in point (aa) of the second subparagraph of Article 34(1) of this Directive or to the assurance opinion referred to in point (b) of this subparagraph;"
SCR-00165,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"if the parent undertaking is established in a third country, its consolidated sustainability reporting and the assurance opinion on the consolidated sustainability reporting, expressed by one or more person(s) or firm(s) authorised to give an opinion on the assurance of sustainability reporting under the law governing that parent undertaking, are published in accordance with Article 30 of this Directive, and in accordance with the law of the Member State by which the exempted subsidiary undertak"
SCR-00166,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,auditing,mechanism,assurance (engagement|opinion|services),assurance opinion,high,"if the parent undertaking is established in a third country, its consolidated sustainability reporting and the assurance opinion on the consolidated sustainability reporting, expressed by one or more person(s) or firm(s) authorised to give an opinion on the assurance of sustainability reporting under the law governing that parent undertaking, are published in accordance with Article 30 of this Directive, and in accordance with the law of the Member State by which the exempted subsidiary undertak"
SCR-00167,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,"if the parent undertaking is established in a third country, the disclosures laid down in Article 8 of Regulation (EU) 2020/852 of the European Parliament and of the Council (*12), covering the activities carried out by the exempted subsidiary undertaking established in the Union and its subsidiary undertakings, are included in the management report of the exempted subsidiary undertaking, or in the consolidated sustainability reporting carried out by the parent undertaking established in a third"
SCR-00168,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,sustainability report\b,sustainability report,high,"The Member State by whose national law the exempted subsidiary undertaking is governed may require that the consolidated management report or, where applicable, the consolidated sustainability report, of the parent undertaking is published in a language that that Member State accepts, and that any necessary translation into such language is provided. Any translation that has not been certified shall include a statement to that effect."
SCR-00169,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"Undertakings which are exempted from preparing a management report in accordance with Article 37 shall not be obliged to provide the information referred to in points (a)(i) to (iii) of the second subparagraph of this paragraph, provided that such undertakings publish the consolidated management report in accordance with Article 37."
SCR-00170,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,‘Undertakings subject to Article 19a shall be deemed to have complied with the obligation laid down in point (g) of the first subparagraph of this paragraph where they include the information required under that point as part of their sustainability reporting and a reference thereto is included in the corporate governance statement.’;
SCR-00171,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"the consolidated financial statements referred to in point (a) and the consolidated management report of the larger body of undertakings are drawn up by the parent undertaking of that body, in accordance with the law of the Member State by which that parent undertaking is governed, in accordance with this Directive, with the exception of the requirements laid down in Article 29a, or in accordance with international accounting standards adopted in accordance with Regulation (EC) No 1606/2002;’;"
SCR-00172,32022L2464,Amendments to Directive 2013/34/EU,‘Article 19a,,article,reporting,instrument,management report,management report,high,"in a manner equivalent to consolidated financial statements and consolidated management reports drawn up in accordance with this Directive, with the exception of the requirements laid down in Article 29a, or’;"
SCR-00173,32022L2464,Amendments to Directive 2013/34/EU,‘Article 29a,,article,reporting,mechanism,sustainability reporting,sustainability reporting,high,Consolidated sustainability reporting
SCR-00174,32022L2464,Amendments to Directive 2013/34/EU,‘Article 29a,,article,reporting,instrument,management report,management report,high,"1. Parent undertakings of a large group as referred to in Article 3(7) shall include in the consolidated management report information necessary to understand the group’s impacts on sustainability matters, and information necessary to understand how sustainability matters affect the group’s development, performance and position."
